№ рішення,Форма судового рішення,Дата ухвалення рішення,Дата набрання законної сили,Форма судочинства,№ судової справи,Назва суду,Суддя,Посилання
129280981,Вирок,04.08.2025,,Кримінальне,203/5356/25,Центральний районний суд міста Дніпра,,/Review/129280981
129280983,Вирок,04.08.2025,,Кримінальне,203/5356/25,Центральний районний суд міста Дніпра,,/Review/129280983
129281300,Вирок,04.08.2025,,Кримінальне,183/4177/25,Самарівський міськрайонний суд Дніпропетровської області,,/Review/129281300
129313966,Вирок,04.08.2025,,Кримінальне,344/10928/25,Івано-Франківський міський суд Івано-Франківської області,,/Review/129313966
129287477,Вирок,04.08.2025,,Кримінальне,544/1538/25,Пирятинський районний суд Полтавської області,,/Review/129287477
129300055,Вирок,04.08.2025,,Кримінальне,143/585/25,Погребищенський районний суд Вінницької області,,/Review/129300055
129234203,Вирок,01.08.2025,,Кримінальне,159/140/24,Ковельський міськрайонний суд Волинської області,,/Review/129234203
129286969,Вирок,01.08.2025,,Кримінальне,591/7831/25,Зарічний районний суд м. Сум,,/Review/129286969
129207482,Вирок,31.07.2025,,Кримінальне,734/1462/25,Козелецький районний суд Чернігівської області,,/Review/129207482
129226194,Вирок,31.07.2025,,Кримінальне,345/3422/25,Калуський міськрайонний суд Івано-Франківської області,,/Review/129226194
129259772,Вирок,31.07.2025,,Кримінальне,344/20793/24,Івано-Франківський міський суд Івано-Франківської області,,/Review/129259772
129143998,Вирок,29.07.2025,,Кримінальне,295/8746/25,Богунський районний суд м. Житомира,,/Review/129143998
129180756,Вирок,29.07.2025,29.07.2025,Кримінальне,154/4022/24,Волинський апеляційний суд,,/Review/129180756
129109022,Вирок,28.07.2025,,Кримінальне,472/609/24,Миколаївський районний суд Миколаївської області,,/Review/129109022
129120633,Вирок,28.07.2025,,Кримінальне,337/3284/25,Хортицький районний суд м. Запоріжжя,,/Review/129120633
129120651,Вирок,28.07.2025,,Кримінальне,337/3284/25,Хортицький районний суд м. Запоріжжя,,/Review/129120651
129115364,Вирок,28.07.2025,,Кримінальне,470/52/25,Березнегуватський районний суд Миколаївської області,,/Review/129115364
129115098,Вирок,28.07.2025,28.08.2025,Кримінальне,129/597/25,Тростянецький районний суд Вінницької області,,/Review/129115098
129120107,Вирок,28.07.2025,28.08.2025,Кримінальне,646/6708/25,Основ’янський районний суд міста Харкова,,/Review/129120107
129150793,Вирок,25.07.2025,01.09.2025,Кримінальне,487/3884/24,Заводський районний суд м. Миколаєва,,/Review/129150793
129085218,Вирок,24.07.2025,,Кримінальне,707/1522/25,Черкаський районний суд Черкаської області,,/Review/129085218
129081494,Вирок,24.07.2025,01.09.2025,Кримінальне,213/1195/24,Інгулецький районний суд м. Кривого Рогу,,/Review/129081494
129018948,Вирок,23.07.2025,25.08.2025,Кримінальне,950/1101/25,Лебединський районний суд Сумської області,,/Review/129018948
129030598,Вирок,23.07.2025,23.08.2025,Кримінальне,336/4498/25,Шевченківський районний суд м. Запоріжжя,,/Review/129030598
129171421,Вирок,23.07.2025,23.08.2025,Кримінальне,183/13104/24,Самарівський міськрайонний суд Дніпропетровської області,,/Review/129171421
128985674,Вирок,22.07.2025,,Кримінальне,945/1309/25,Миколаївський районний суд Миколаївської області,,/Review/128985674
129030926,Вирок,22.07.2025,,Кримінальне,450/2768/25,Пустомитівський районний суд Львівської області,,/Review/129030926
128999740,Вирок,22.07.2025,22.08.2025,Кримінальне,467/563/25,Арбузинський районний суд Миколаївської області,,/Review/128999740
128999739,Вирок,22.07.2025,22.08.2025,Кримінальне,467/563/25,Арбузинський районний суд Миколаївської області,,/Review/128999739
128960159,Вирок,21.07.2025,,Кримінальне,274/2255/25,Бердичівський міськрайонний суд Житомирської області,,/Review/128960159
129539854,Вирок,21.07.2025,,Кримінальне,490/3913/25,Центральний районний суд м. Миколаєва,,/Review/129539854
128965844,Вирок,21.07.2025,21.08.2025,Кримінальне,484/3820/25,Первомайський міськрайонний суд Миколаївської області,,/Review/128965844
128927985,Вирок,17.07.2025,,Кримінальне,584/362/25,Путивльський районний суд Сумської області,,/Review/128927985
128909328,Вирок,17.07.2025,,Кримінальне,138/258/24,Могилів-Подільський міськрайонний суд Вінницької області,,/Review/128909328
128914862,Вирок,17.07.2025,19.08.2025,Кримінальне,295/7649/25,Богунський районний суд м. Житомира,,/Review/128914862
128868825,Вирок,16.07.2025,,Кримінальне,676/2395/25,Кам'янець-Подільський міськрайонний суд Хмельницької області,,/Review/128868825
128913335,Вирок,16.07.2025,,Кримінальне,665/1784/21,Великоолександрівський районний суд Херсонської області,,/Review/128913335
128838350,Вирок,15.07.2025,15.07.2025,Кримінальне,750/2854/23,Чернігівський апеляційний суд,,/Review/128838350
128847697,Вирок,15.07.2025,15.08.2025,Кримінальне,213/3507/25,Інгулецький районний суд м. Кривого Рогу,,/Review/128847697
128849152,Вирок,15.07.2025,15.08.2025,Кримінальне,138/1586/25,Могилів-Подільський міськрайонний суд Вінницької області,,/Review/128849152
128851354,Вирок,15.07.2025,15.08.2025,Кримінальне,463/5425/25,Личаківський районний суд м. Львова,,/Review/128851354
128851722,Вирок,15.07.2025,15.08.2025,Кримінальне,468/2763/23,Баштанський районний суд Миколаївської області,,/Review/128851722
128852136,Вирок,15.07.2025,15.08.2025,Кримінальне,484/3515/25,Первомайський міськрайонний суд Миколаївської області,,/Review/128852136
129539820,Вирок,15.07.2025,,Кримінальне,490/3913/25,Центральний районний суд м. Миколаєва,,/Review/129539820
129539825,Вирок,15.07.2025,,Кримінальне,490/540/23,Центральний районний суд м. Миколаєва,,/Review/129539825
128787909,Вирок,11.07.2025,,Кримінальне,129/2365/25,Гайсинський районний суд Вінницької області,,/Review/128787909
128805783,Вирок,11.07.2025,12.08.2025,Кримінальне,130/1575/25,Жмеринський міськрайонний суд Вінницької області,,/Review/128805783
128823580,Вирок,11.07.2025,12.08.2025,Кримінальне,761/45151/24,Шевченківський районний суд міста Києва,,/Review/128823580
128755390,Вирок,10.07.2025,,Кримінальне,396/537/25,Новоукраїнський районний суд Кіровоградської області,,/Review/128755390
128786073,Вирок,10.07.2025,,Кримінальне,396/537/25,Новоукраїнський районний суд Кіровоградської області,,/Review/128786073
128755937,Вирок,09.07.2025,11.08.2025,Кримінальне,545/2996/25,Полтавський районний суд Полтавської області,,/Review/128755937
128795124,Вирок,09.07.2025,12.08.2025,Кримінальне,171/2286/25,Апостолівський районний суд Дніпропетровської області,,/Review/128795124
128694494,Вирок,08.07.2025,08.08.2025,Кримінальне,750/7007/25,Деснянський районний суд м. Чернігова,,/Review/128694494
128695778,Вирок,08.07.2025,08.08.2025,Кримінальне,295/14885/23,Богунський районний суд м. Житомира,,/Review/128695778
128656781,Вирок,07.07.2025,,Кримінальне,346/2081/25,Коломийський міськрайонний суд Івано-Франківської області,,/Review/128656781
128662245,Вирок,07.07.2025,,Кримінальне,750/7069/23,Деснянський районний суд м. Чернігова,,/Review/128662245
128657820,Вирок,07.07.2025,,Кримінальне,308/9485/22,Ужгородський міськрайонний суд Закарпатської області,,/Review/128657820
128654808,Вирок,07.07.2025,07.08.2025,Кримінальне,636/893/21,Чугуївський міський суд Харківської області,,/Review/128654808
128657821,Вирок,07.07.2025,07.08.2025,Кримінальне,308/9485/22,Ужгородський міськрайонний суд Закарпатської області,,/Review/128657821
128661680,Вирок,07.07.2025,07.08.2025,Кримінальне,511/2792/24,Роздільнянський районний суд Одеської області,,/Review/128661680
128645309,Вирок,07.07.2025,07.08.2025,Кримінальне,751/4904/25,Новозаводський районний суд м. Чернігова,,/Review/128645309
128620197,Вирок,04.07.2025,,Кримінальне,636/5478/21,Чугуївський міський суд Харківської області,,/Review/128620197
128760656,Вирок,04.07.2025,,Кримінальне,487/3211/25,Заводський районний суд м. Миколаєва,,/Review/128760656
128631578,Вирок,04.07.2025,04.08.2025,Кримінальне,273/913/25,Баранівський районний суд Житомирської області,,/Review/128631578
128631579,Вирок,04.07.2025,04.08.2025,Кримінальне,273/913/25,Баранівський районний суд Житомирської області,,/Review/128631579
129539797,Вирок,04.07.2025,,Кримінальне,490/2473/22,Центральний районний суд м. Миколаєва,,/Review/129539797
128620855,Вирок,04.07.2025,04.08.2025,Кримінальне,753/11159/25,Дарницький районний суд міста Києва,,/Review/128620855
128614667,Вирок,03.07.2025,,Кримінальне,183/5749/17,Самарівський міськрайонний суд Дніпропетровської області,,/Review/128614667
128589458,Вирок,03.07.2025,11.08.2025,Кримінальне,611/274/25,Барвінківський районний суд Харківської області,,/Review/128589458
128597497,Вирок,03.07.2025,11.08.2025,Кримінальне,611/274/25,Барвінківський районний суд Харківської області,,/Review/128597497
128566988,Вирок,02.07.2025,,Кримінальне,587/2329/24,Сумський районний суд Сумської області,,/Review/128566988
128565437,Вирок,02.07.2025,04.08.2025,Кримінальне,469/1438/24,Березанський районний суд Миколаївської області,,/Review/128565437
128555424,Вирок,02.07.2025,04.08.2025,Кримінальне,279/1997/25,Коростенський міськрайонний суд Житомирської області,,/Review/128555424
128513560,Вирок,30.06.2025,31.07.2025,Кримінальне,944/2927/25,Яворівський районний суд Львівської області,,/Review/128513560
128490658,Вирок,30.06.2025,31.07.2025,Кримінальне,465/138/25,Франківський районний суд м. Львова,,/Review/128490658
128490580,Вирок,30.06.2025,31.07.2025,Кримінальне,465/138/25,Франківський районний суд м. Львова,,/Review/128490580
128623113,Вирок,30.06.2025,31.07.2025,Кримінальне,521/17568/24,Хаджибейський районний суд міста Одеси,,/Review/128623113
128443883,Вирок,27.06.2025,,Кримінальне,577/3253/25,Конотопський міськрайонний суд Сумської області,,/Review/128443883
128454499,Вирок,27.06.2025,,Кримінальне,336/3491/25,Шевченківський районний суд м. Запоріжжя,,/Review/128454499
128454501,Вирок,27.06.2025,,Кримінальне,336/3491/25,Шевченківський районний суд м. Запоріжжя,,/Review/128454501
128456597,Вирок,27.06.2025,28.07.2025,Кримінальне,522/12305/25,Приморський районний суд м. Одеси,,/Review/128456597
128447093,Вирок,26.06.2025,29.07.2025,Кримінальне,274/3353/25,Бердичівський міськрайонний суд Житомирської області,,/Review/128447093
128372767,Вирок,25.06.2025,,Кримінальне,125/1026/24,Барський районний суд Вінницької області,,/Review/128372767
128408884,Вирок,25.06.2025,,Кримінальне,463/3821/25,Личаківський районний суд м. Львова,,/Review/128408884
128407089,Вирок,25.06.2025,,Кримінальне,676/8310/24,Кам'янець-Подільський міськрайонний суд Хмельницької області,,/Review/128407089
128412853,Вирок,25.06.2025,29.07.2025,Кримінальне,274/3165/25,Бердичівський міськрайонний суд Житомирської області,,/Review/128412853
128451637,Вирок,25.06.2025,28.07.2025,Кримінальне,740/2962/24,Носівський районний суд Чернігівської області,,/Review/128451637
128379240,Вирок,25.06.2025,28.07.2025,Кримінальне,636/765/22,Чугуївський міський суд Харківської області,,/Review/128379240
129539767,Вирок,25.06.2025,,Кримінальне,490/1210/22,Центральний районний суд м. Миколаєва,,/Review/129539767
128372459,Вирок,24.06.2025,25.07.2025,Кримінальне,944/3076/25,Яворівський районний суд Львівської області,,/Review/128372459
128335509,Вирок,24.06.2025,25.07.2025,Кримінальне,470/348/24,Березнегуватський районний суд Миколаївської області,,/Review/128335509
128384313,Вирок,24.06.2025,,Кримінальне,346/2080/25,Коломийський міськрайонний суд Івано-Франківської області,,/Review/128384313
128341295,Вирок,24.06.2025,25.07.2025,Кримінальне,293/743/24,Черняхівський районний суд Житомирської області,,/Review/128341295
129539746,Вирок,24.06.2025,,Кримінальне,490/601/22,Центральний районний суд м. Миколаєва,,/Review/129539746
129539752,Вирок,24.06.2025,,Кримінальне,490/475/25,Центральний районний суд м. Миколаєва,,/Review/129539752
129539755,Вирок,24.06.2025,,Кримінальне,490/489/25,Центральний районний суд м. Миколаєва,,/Review/129539755
128303454,Вирок,23.06.2025,24.07.2025,Кримінальне,646/4294/25,Основ’янський районний суд міста Харкова,,/Review/128303454
128315866,Вирок,23.06.2025,24.07.2025,Кримінальне,279/3437/25,Коростенський міськрайонний суд Житомирської області,,/Review/128315866
128302191,Вирок,23.06.2025,24.07.2025,Кримінальне,638/3803/25,Шевченківський районний суд міста Харкова,,/Review/128302191
129539749,Вирок,20.06.2025,,Кримінальне,490/3911/25,Центральний районний суд м. Миколаєва,,/Review/129539749
128236699,Вирок,19.06.2025,22.07.2025,Кримінальне,695/1941/25,Чорнобаївський районний суд Черкаської області,,/Review/128236699
128248403,Вирок,19.06.2025,22.07.2025,Кримінальне,552/4091/25,Київський районний суд м. Полтави,,/Review/128248403
128273244,Вирок,19.06.2025,21.07.2025,Кримінальне,726/1609/25,Садгірський районний суд м. Чернівців,,/Review/128273244
129539753,Вирок,19.06.2025,,Кримінальне,490/475/25,Центральний районний суд м. Миколаєва,,/Review/129539753
129539760,Вирок,19.06.2025,,Кримінальне,490/1398/22,Центральний районний суд м. Миколаєва,,/Review/129539760
129539761,Вирок,19.06.2025,,Кримінальне,490/1398/22,Центральний районний суд м. Миколаєва,,/Review/129539761
128203093,Вирок,18.06.2025,,Кримінальне,760/24572/23,Солом'янський районний суд міста Києва,,/Review/128203093
128213349,Вирок,18.06.2025,21.07.2025,Кримінальне,357/6488/25,Білоцерківський міськрайонний суд Київської області,,/Review/128213349
128207312,Вирок,18.06.2025,21.07.2025,Кримінальне,619/840/25,Дергачівський районний суд Харківської області,,/Review/128207312
128197945,Вирок,18.06.2025,21.07.2025,Кримінальне,217/181/23,Довгинцівський районний суд м. Кривого Рогу,,/Review/128197945
128174050,Вирок,17.06.2025,,Кримінальне,463/5149/25,Личаківський районний суд м. Львова,,/Review/128174050
128201611,Вирок,17.06.2025,,Кримінальне,636/1521/25,Чугуївський міський суд Харківської області,,/Review/128201611
128134911,Вирок,16.06.2025,,Кримінальне,638/7550/24,Шевченківський районний суд міста Харкова,,/Review/128134911
128136560,Вирок,16.06.2025,16.07.2025,Кримінальне,522/5520/25,Біляївський районний суд Одеської області,,/Review/128136560
129539715,Вирок,16.06.2025,,Кримінальне,490/3911/25,Центральний районний суд м. Миколаєва,,/Review/129539715
129539754,Вирок,16.06.2025,,Кримінальне,490/489/25,Центральний районний суд м. Миколаєва,,/Review/129539754
128093606,Вирок,13.06.2025,,Кримінальне,369/6244/25,Києво-Святошинський районний суд Київської області,,/Review/128093606
128417422,Вирок,13.06.2025,,Кримінальне,208/2417/25,Заводський районний суд міста Кам’янського,,/Review/128417422
128076692,Вирок,12.06.2025,14.07.2025,Кримінальне,576/739/25,Глухівський міськрайонний суд Сумської області,,/Review/128076692
128069250,Вирок,12.06.2025,14.07.2025,Кримінальне,636/3911/19,Чугуївський міський суд Харківської області,,/Review/128069250
128060774,Вирок,12.06.2025,15.07.2025,Кримінальне,638/9491/25,Шевченківський районний суд міста Харкова,,/Review/128060774
129539707,Вирок,12.06.2025,,Кримінальне,490/9278/21,Центральний районний суд м. Миколаєва,,/Review/129539707
129539714,Вирок,12.06.2025,,Кримінальне,490/489/25,Центральний районний суд м. Миколаєва,,/Review/129539714
128023548,Вирок,11.06.2025,14.07.2025,Кримінальне,932/12868/24,Шевченківський районний суд міста Дніпра,,/Review/128023548
128021340,Вирок,11.06.2025,12.07.2025,Кримінальне,332/2305/25,Заводський районний суд м. Запоріжжя,,/Review/128021340
128021341,Вирок,11.06.2025,12.07.2025,Кримінальне,332/2305/25,Заводський районний суд м. Запоріжжя,,/Review/128021341
128033063,Вирок,11.06.2025,14.07.2025,Кримінальне,465/5866/24,Франківський районний суд м. Львова,,/Review/128033063
128012953,Вирок,10.06.2025,29.07.2025,Кримінальне,147/152/25,Тростянецький районний суд Вінницької області,,/Review/128012953
128130856,Вирок,10.06.2025,10.07.2025,Кримінальне,930/1258/25,Немирівський районний суд Вінницької області,,/Review/128130856
127968500,Вирок,09.06.2025,10.07.2025,Кримінальне,544/1117/25,Пирятинський районний суд Полтавської області,,/Review/127968500
127970873,Вирок,09.06.2025,10.07.2025,Кримінальне,756/7690/24,Оболонський районний суд міста Києва,,/Review/127970873
129539666,Вирок,09.06.2025,,Кримінальне,490/3913/25,Центральний районний суд м. Миколаєва,,/Review/129539666
127937979,Вирок,06.06.2025,,Кримінальне,583/1315/25,Охтирський міськрайонний суд Сумської області,,/Review/127937979
127965979,Вирок,06.06.2025,,Кримінальне,601/3588/24,Кременецький районний суд Тернопільської області,,/Review/127965979
127937989,Вирок,06.06.2025,08.07.2025,Кримінальне,583/1315/25,Охтирський міськрайонний суд Сумської області,,/Review/127937989
127984389,Вирок,06.06.2025,08.07.2025,Кримінальне,336/2691/25,Шевченківський районний суд м. Запоріжжя,,/Review/127984389
127931475,Вирок,06.06.2025,15.07.2025,Кримінальне,134/151/25,Крижопільський районний суд Вінницької області,,/Review/127931475
127934950,Вирок,06.06.2025,08.07.2025,Кримінальне,463/4969/25,Личаківський районний суд м. Львова,,/Review/127934950
129539652,Вирок,06.06.2025,,Кримінальне,490/3913/25,Центральний районний суд м. Миколаєва,,/Review/129539652
127907991,Вирок,05.06.2025,07.07.2025,Кримінальне,587/1118/25,Лебединський районний суд Сумської області,,/Review/127907991
127919300,Вирок,05.06.2025,07.07.2025,Кримінальне,153/639/25,Ямпільський районний суд Вінницької області,,/Review/127919300
127908105,Вирок,05.06.2025,,Кримінальне,587/1847/25,Сумський районний суд Сумської області,,/Review/127908105
127922889,Вирок,05.06.2025,08.07.2025,Кримінальне,469/1644/24,Березанський районний суд Миколаївської області,,/Review/127922889
127924204,Вирок,05.06.2025,08.07.2025,Кримінальне,444/1560/25,Жовківський районний суд Львівської області,,/Review/127924204
127922432,Вирок,05.06.2025,08.07.2025,Кримінальне,465/3667/25,Франківський районний суд м. Львова,,/Review/127922432
129539641,Вирок,05.06.2025,,Кримінальне,490/3913/25,Центральний районний суд м. Миколаєва,,/Review/129539641
129539853,Вирок,05.06.2025,,Кримінальне,214/2595/22,Центральний районний суд м. Миколаєва,,/Review/129539853
128072572,Вирок,05.06.2025,08.07.2025,Кримінальне,465/8085/24,Франківський районний суд м. Львова,,/Review/128072572
127872805,Вирок,04.06.2025,,Кримінальне,712/7546/25,Соснівський районний суд м. Черкаси,,/Review/127872805
127853134,Вирок,04.06.2025,05.07.2025,Кримінальне,748/158/25,Чернігівський районний суд Чернігівської області,,/Review/127853134
127977640,Вирок,03.06.2025,04.07.2025,Кримінальне,751/3791/25,Новозаводський районний суд м. Чернігова,,/Review/127977640
127816822,Вирок,03.06.2025,04.07.2025,Кримінальне,208/6431/25,Заводський районний суд міста Кам’янського,,/Review/127816822
129539611,Вирок,03.06.2025,,Кримінальне,490/4316/19,Центральний районний суд м. Миколаєва,,/Review/129539611
129539624,Вирок,03.06.2025,,Кримінальне,490/2574/25,Центральний районний суд м. Миколаєва,,/Review/129539624
127781248,Вирок,02.06.2025,03.07.2025,Кримінальне,208/380/25,Заводський районний суд міста Кам’янського,,/Review/127781248
129539608,Вирок,02.06.2025,,Кримінальне,490/1750/22,Центральний районний суд м. Миколаєва,,/Review/129539608
127762777,Вирок,30.05.2025,,Кримінальне,650/568/25,Великоолександрівський районний суд Херсонської області,,/Review/127762777
127785619,Вирок,30.05.2025,01.07.2025,Кримінальне,179/628/25,Магдалинівський районний суд Дніпропетровської області,,/Review/127785619
129539621,Вирок,30.05.2025,,Кримінальне,490/2574/25,Центральний районний суд м. Миколаєва,,/Review/129539621
127759690,Вирок,29.05.2025,01.07.2025,Кримінальне,687/1173/24,Чемеровецький районний суд Хмельницької області,,/Review/127759690
127707266,Вирок,29.05.2025,30.06.2025,Кримінальне,636/2108/25,Чугуївський міський суд Харківської області,,/Review/127707266
127703863,Вирок,28.05.2025,28.06.2025,Кримінальне,172/1195/23,Синельниківський міськрайонний суд Дніпропетровської області,,/Review/127703863
127705973,Вирок,28.05.2025,30.06.2025,Кримінальне,545/2268/25,Полтавський районний суд Полтавської області,,/Review/127705973
127673151,Вирок,28.05.2025,02.07.2025,Кримінальне,211/2131/25,Покровський районний суд міста Кривого Рогу,,/Review/127673151
129539597,Вирок,28.05.2025,,Кримінальне,490/1753/22,Центральний районний суд м. Миколаєва,,/Review/129539597
127760604,Вирок,27.05.2025,,Кримінальне,521/2418/25,Хаджибейський районний суд міста Одеси,,/Review/127760604
127641735,Вирок,27.05.2025,27.06.2025,Кримінальне,709/1341/24,Чорнобаївський районний суд Черкаської області,,/Review/127641735
127656409,Вирок,27.05.2025,27.06.2025,Кримінальне,592/6722/25,Ковпаківський районний суд м. Суми,,/Review/127656409
127632916,Вирок,27.05.2025,27.06.2025,Кримінальне,725/1724/25,Чернівецький районний суд міста Чернівців,,/Review/127632916
127653485,Вирок,27.05.2025,01.07.2025,Кримінальне,712/2227/25,Соснівський районний суд м. Черкаси,,/Review/127653485
129539573,Вирок,27.05.2025,,Кримінальне,490/1210/22,Центральний районний суд м. Миколаєва,,/Review/129539573
127609691,Вирок,26.05.2025,,Кримінальне,473/2539/25,Вознесенський міськрайонний суд Миколаївської області,,/Review/127609691
127598102,Вирок,26.05.2025,26.06.2025,Кримінальне,635/1896/25,Харківський районний суд Харківської області,,/Review/127598102
127611442,Вирок,26.05.2025,26.06.2025,Кримінальне,279/1397/25,Коростенський міськрайонний суд Житомирської області,,/Review/127611442
129539576,Вирок,26.05.2025,,Кримінальне,490/3911/25,Центральний районний суд м. Миколаєва,,/Review/129539576
129539578,Вирок,26.05.2025,,Кримінальне,490/3913/25,Центральний районний суд м. Миколаєва,,/Review/129539578
127561746,Вирок,23.05.2025,,Кримінальне,303/6212/24,Мукачівський міськрайонний суд Закарпатської області,,/Review/127561746
127561747,Вирок,23.05.2025,,Кримінальне,303/6212/24,Мукачівський міськрайонний суд Закарпатської області,,/Review/127561747
127564675,Вирок,23.05.2025,,Кримінальне,225/1213/24,Самарський районний суд міста Дніпра,,/Review/127564675
127573327,Вирок,23.05.2025,24.06.2025,Кримінальне,308/2559/25,Ужгородський міськрайонний суд Закарпатської області,,/Review/127573327
127559154,Вирок,23.05.2025,24.06.2025,Кримінальне,646/2535/25,Основ’янський районний суд міста Харкова,,/Review/127559154
