file_path,awol_start_date_iso,awol_start_time_hhmm,return_date_iso,return_time_hhmm
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100081476.html,2021-09-29,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100081487.html,2021-09-27,,2021-09-30,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100084707.html,2021-09-08,08:00,2021-09-10,08:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100085006.html,2021-08-30,08:30,2021-09-01,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100085282.html,2021-09-23,23:10,2021-09-24,03:45
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100087068.html,2021-09-28,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100087085.html,2021-09-27,21:00,2021-09-28,19:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100087454.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100096009.html,2021-09-24,07:00,2021-09-30,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100098328.html,2021-09-07,08:00,2021-09-17,09:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100098588.html,2021-09-17,23:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100099847.html,2021-09-29,,2021-10-03,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100100203.html,2021-05-14,08:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100102699.html,2021-09-02,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100110528.html,2021-07-28,08:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100112831.html,2021-08-31,08:00,2021-09-04,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100112836.html,2021-08-26,,2021-09-02,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100122475.html,2021-09-20,06:00,2021-09-20,22:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100122612.html,2021-09-27,08:30,2021-09-27,13:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100125240.html,2021-07-27,,2021-09-30,07:50
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100130178.html,2021-07-15,,2021-07-22,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100130251.html,2021-09-05,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100130324.html,2021-07-01,21:00,2021-07-08,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100132274.html,2021-09-29,19:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100132742.html,2021-09-18,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100133997.html,2021-09-01,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100136506.html,2021-09-17,23:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100137099.html,2021-09-29,08:00,2021-09-29,22:10
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100137625.html,2021-09-13,08:00,2021-09-14,08:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100137940.html,2021-08-09,,2021-08-10,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100138331.html,2021-08-09,,2021-08-18,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100138334.html,2021-08-20,,2021-08-28,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100138512.html,2021-10-04,08:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100139106.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100153818.html,2021-09-27,,2021-09-30,15:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100156602.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100158106.html,2021-08-02,08:30,2021-08-03,08:45
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100159040.html,2021-09-28,08:00,2021-09-28,12:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100159043.html,2021-09-27,08:00,2021-09-29,10:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100159547.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100162154.html,2021-09-27,,2021-09-29,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100164917.html,2021-09-30,07:50,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100167072.html,2021-09-07,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100167088.html,2021-10-01,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100167102.html,2021-07-09,,2021-07-12,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100168023.html,2021-10-04,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100170131.html,2021-08-19,,2021-08-27,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100172543.html,2021-09-10,16:50,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100172553.html,2021-09-13,,2021-09-14,08:30
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100172554.html,2021-09-13,,2021-09-14,08:30
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100172555.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100172556.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100172557.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100172558.html,2021-09-20,08:00,2021-09-23,08:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100172651.html,2021-10-05,14:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100173239.html,2021-07-15,08:30,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100183938.html,2021-06-17,08:00,2021-06-30,08:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100184286.html,2021-10-04,08:00,2021-10-06,08:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100190984.html,2021-09-03,08:00,2021-09-08,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100191317.html,2021-10-05,08:00,2021-10-06,08:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100191329.html,2021-09-30,14:20,2021-10-01,10:30
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100192794.html,2021-08-26,08:00,2021-08-27,17:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100195306.html,2021-09-30,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100196052.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100198419.html,2021-09-27,14:00,2021-09-28,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100198469.html,2021-08-13,,2021-08-14,10:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100199120.html,2021-09-15,09:00,2021-09-15,17:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100199924.html,2021-09-16,09:00,2021-09-17,23:30
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100200550.html,2021-09-18,12:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100201048.html,2021-10-04,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100201507.html,2021-09-23,08:00,2021-09-27,08:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100202295.html,2021-08-04,08:00,2021-08-06,19:10
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100203454.html,2021-10-05,08:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100204158.html,2021-09-29,08:00,2021-10-04,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100209606.html,2021-09-13,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100217511.html,2021-04-01,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100224128.html,2021-07-28,08:00,2021-08-10,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100225196.html,2021-08-08,08:00,2021-08-14,10:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100225197.html,,08:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100225202.html,2021-07-27,08:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100225203.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100225204.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100225207.html,2021-06-22,08:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100225208.html,2021-07-31,,2021-08-09,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100225392.html,2021-09-25,08:00,2021-10-03,08:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100225828.html,2021-10-04,08:00,2021-10-04,17:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100226693.html,2021-10-04,08:00,2021-10-04,15:20
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100234891.html,2021-09-21,18:00,2021-09-26,15:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100236891.html,2021-09-27,08:00,2021-09-28,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100249932.html,2021-06-30,08:00,2021-07-01,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100253009.html,2021-08-09,,2021-08-16,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100253878.html,2021-08-19,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100254983.html,2021-09-01,08:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100255041.html,2021-08-31,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100258185.html,2021-07-07,,2021-07-11,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100259746.html,2021-08-26,09:00,2021-08-28,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100263248.html,2021-09-20,06:00,2021-09-21,20:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100266618.html,2021-09-27,,2021-10-01,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100267322.html,2021-10-02,08:00,2021-10-02,21:30
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100267323.html,2021-10-02,08:00,2021-10-02,21:30
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100272876.html,2021-10-04,08:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100273449.html,2021-09-22,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100283094.html,2021-09-21,11:25,2021-09-23,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100283814.html,2021-09-09,10:50,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100288486.html,2021-09-14,21:30,2021-09-15,05:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100291419.html,2021-09-22,08:30,2021-09-23,08:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100293058.html,2021-10-01,08:00,2021-10-07,08:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100296330.html,2021-09-03,07:50,2021-09-03,16:20
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100299692.html,2021-09-14,20:40,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100300541.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100301774.html,2021-10-08,08:05,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100309796.html,2021-06-19,08:00,2021-06-29,11:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100316021.html,2021-10-01,,2021-10-03,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100320124.html,2021-10-04,08:30,2021-10-08,12:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100320125.html,2021-09-21,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100325164.html,2021-08-02,08:00,2021-08-05,08:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100325274.html,2021-09-22,16:00,2021-09-23,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100325641.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100325915.html,2021-09-28,09:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100326342.html,2021-10-04,,2021-10-13,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100326362.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100328555.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100328804.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100329437.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100331793.html,2021-07-02,09:00,2021-07-02,12:17
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100331797.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100331799.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100331803.html,2021-08-31,,2021-09-03,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100331810.html,2021-08-10,08:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100331811.html,2021-09-02,08:30,2021-09-03,09:30
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100331818.html,2021-09-01,08:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100332175.html,2021-09-20,08:00,2021-09-21,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100334126.html,2021-08-25,08:00,2021-08-25,14:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100334127.html,2021-08-27,,2021-08-28,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100334922.html,2021-09-01,08:00,2021-09-01,12:30
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100337357.html,2021-09-07,08:00,2021-09-07,12:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100337404.html,2021-10-06,14:00,2021-10-11,09:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100337407.html,2021-10-08,08:00,2021-10-12,08:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100339229.html,2021-09-23,23:10,2021-09-24,05:15
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100340190.html,2021-10-11,08:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100341870.html,2021-10-09,08:30,2021-10-11,11:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100341884.html,2021-10-04,,2021-10-11,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100341910.html,2021-10-04,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100341911.html,2021-08-02,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100341912.html,2021-09-13,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100342245.html,2021-09-21,08:00,2021-09-22,15:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100342260.html,2021-08-16,08:00,2021-08-25,08:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100342261.html,2021-07-25,17:30,2021-07-26,01:30
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100342262.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100342315.html,2021-09-08,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100345183.html,2021-09-28,08:00,2021-09-29,08:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100346417.html,2021-10-04,,2021-10-05,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100346418.html,2021-10-02,09:45,2021-10-02,15:30
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100351411.html,2021-10-09,,2021-10-11,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100356916.html,2021-08-26,,2021-09-03,10:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100360399.html,2021-09-04,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100371961.html,2021-06-16,08:30,2021-06-22,08:00
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100373764.html,2021-10-03,20:30,2021-10-04,12:30
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100376618.html,2021-09-01,08:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100376619.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100376627.html,2021-09-13,13:00,2021-09-14,15:30
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100376628.html,2021-09-13,13:00,2021-09-14,15:30
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100376640.html,2021-09-22,08:00,2021-09-22,12:30
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100377525.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100377544.html,2021-09-01,08:30,2021-09-02,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100377705.html,,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100377846.html,2021-07-24,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100378719.html,2021-10-08,,2021-10-10,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100379788.html,2021-09-08,08:00,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100383715.html,2021-08-11,,,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\decisions_adm\100384103.html,2021-09-27,08:00,2021-10-04,
